CONFIGURATION LOCAL:
FEATURES = 32
OPTIMIZER = 'adadelta'
NUMBER_OF_EPOCHS = 2000
--------------------------------
CONFIGURATION GLOBAL:
EXTENDED_DATASET = True
BLACK_BORDER = True
HARD_DIFFICULTY = True
SIMPLIFIED_CATEGORIES = False
CROPPED_VERSION = True
WRITE_TO_FILE = True
FULL_CROSS_VALIDATION = False
CROSS_VALIDATION_ITERATIONS = 5
SEED = 66478
TEST_PERCENTAGE = 20
VALIDATION_PERCENTAGE = 20
--------------------------------
(10440, 10440)
[42 36 23 23 17 55 52]
[ 468  713  119 ..., 1132   44  369]
--------------------------------
DeepAutoEncoder: Start learning: 0.00s
DeepAutoEncoder: Total time: 0.00s
--------------------------------
Train and Validation loss epoch 1: 0.11310 0.12309
Train and Validation loss epoch 2: 0.11115 0.11771
Train and Validation loss epoch 3: 0.09544 0.07483
Train and Validation loss epoch 4: 0.05931 0.04488
Train and Validation loss epoch 5: 0.04662 0.03779
Train and Validation loss epoch 6: 0.04371 0.03636
Train and Validation loss epoch 7: 0.04300 0.03577
Train and Validation loss epoch 8: 0.04258 0.03541
Train and Validation loss epoch 9: 0.04227 0.03500
Train and Validation loss epoch 10: 0.04202 0.03480
Train and Validation loss epoch 11: 0.04181 0.03453
Train and Validation loss epoch 12: 0.04162 0.03428
Train and Validation loss epoch 13: 0.04143 0.03405
Train and Validation loss epoch 14: 0.04125 0.03374
Train and Validation loss epoch 15: 0.04107 0.03368
Train and Validation loss epoch 16: 0.04088 0.03332
Train and Validation loss epoch 17: 0.04068 0.03296
Train and Validation loss epoch 18: 0.04045 0.03284
Train and Validation loss epoch 19: 0.04017 0.03242
Train and Validation loss epoch 20: 0.03984 0.03194
Train and Validation loss epoch 21: 0.03946 0.03141
Train and Validation loss epoch 22: 0.03899 0.03079
Train and Validation loss epoch 23: 0.03844 0.03002
Train and Validation loss epoch 24: 0.03786 0.02945
Train and Validation loss epoch 25: 0.03724 0.02876
Train and Validation loss epoch 26: 0.03665 0.02808
Train and Validation loss epoch 27: 0.03606 0.02760
Train and Validation loss epoch 28: 0.03556 0.02708
Train and Validation loss epoch 29: 0.03509 0.02671
Train and Validation loss epoch 30: 0.03465 0.02649
Train and Validation loss epoch 31: 0.03422 0.02651
Train and Validation loss epoch 32: 0.03382 0.02617
Train and Validation loss epoch 33: 0.03352 0.02615
Train and Validation loss epoch 34: 0.03327 0.02688
Train and Validation loss epoch 35: 0.03306 0.02681
Train and Validation loss epoch 36: 0.03304 0.02609
Train and Validation loss epoch 37: 0.03263 0.02656
Train and Validation loss epoch 38: 0.03275 0.02613
Train and Validation loss epoch 39: 0.03272 0.02595
Train and Validation loss epoch 40: 0.03222 0.02604
Train and Validation loss epoch 41: 0.03236 0.02630
Train and Validation loss epoch 42: 0.03194 0.02620
Train and Validation loss epoch 43: 0.03199 0.02622
Train and Validation loss epoch 44: 0.03204 0.02657
Train and Validation loss epoch 45: 0.03105 0.02647
Train and Validation loss epoch 46: 0.03149 0.02636
Train and Validation loss epoch 47: 0.03120 0.02805
Train and Validation loss epoch 48: 0.03153 0.02687
Train and Validation loss epoch 49: 0.03075 0.02581
Train and Validation loss epoch 50: 0.03100 0.02674
Train and Validation loss epoch 51: 0.03045 0.02574
Train and Validation loss epoch 52: 0.03026 0.02740
Train and Validation loss epoch 53: 0.03031 0.02541
Train and Validation loss epoch 54: 0.03019 0.02603
Train and Validation loss epoch 55: 0.02986 0.02488
Train and Validation loss epoch 56: 0.02969 0.02700
Train and Validation loss epoch 57: 0.02969 0.02656
Train and Validation loss epoch 58: 0.02938 0.02651
Train and Validation loss epoch 59: 0.02940 0.02628
Train and Validation loss epoch 60: 0.02923 0.02593
Train and Validation loss epoch 61: 0.02878 0.02520
Train and Validation loss epoch 62: 0.02854 0.02645
Train and Validation loss epoch 63: 0.02845 0.02586
Train and Validation loss epoch 64: 0.02835 0.02683
Train and Validation loss epoch 65: 0.02824 0.02614
Train and Validation loss epoch 66: 0.02798 0.02604
Train and Validation loss epoch 67: 0.02791 0.02611
Train and Validation loss epoch 68: 0.02757 0.02569
Train and Validation loss epoch 69: 0.02762 0.02771
Train and Validation loss epoch 70: 0.02725 0.02567
Train and Validation loss epoch 71: 0.02720 0.02538
Train and Validation loss epoch 72: 0.02688 0.02609
Train and Validation loss epoch 73: 0.02686 0.02688
Train and Validation loss epoch 74: 0.02662 0.02621
Train and Validation loss epoch 75: 0.02667 0.02593
Train and Validation loss epoch 76: 0.02623 0.02590
Train and Validation loss epoch 77: 0.02618 0.02520
Train and Validation loss epoch 78: 0.02599 0.02528
Train and Validation loss epoch 79: 0.02597 0.02590
Train and Validation loss epoch 80: 0.02577 0.02683
Train and Validation loss epoch 81: 0.02578 0.02696
Train and Validation loss epoch 82: 0.02571 0.02508
Train and Validation loss epoch 83: 0.02575 0.02598
Train and Validation loss epoch 84: 0.02550 0.02573
Train and Validation loss epoch 85: 0.02550 0.02598
Train and Validation loss epoch 86: 0.02553 0.02545
Train and Validation loss epoch 87: 0.02541 0.02661
Train and Validation loss epoch 88: 0.02526 0.02491
Train and Validation loss epoch 89: 0.02540 0.02609
Train and Validation loss epoch 90: 0.02515 0.02494
Train and Validation loss epoch 91: 0.02509 0.02665
Train and Validation loss epoch 92: 0.02522 0.02633
Train and Validation loss epoch 93: 0.02516 0.02681
Train and Validation loss epoch 94: 0.02509 0.02499
Train and Validation loss epoch 95: 0.02508 0.02536
Train and Validation loss epoch 96: 0.02490 0.02605
Train and Validation loss epoch 97: 0.02504 0.02587
Train and Validation loss epoch 98: 0.02478 0.02511
Train and Validation loss epoch 99: 0.02481 0.02668
Train and Validation loss epoch 100: 0.02484 0.02528
Train and Validation loss epoch 101: 0.02477 0.02615
Train and Validation loss epoch 102: 0.02484 0.02523
Train and Validation loss epoch 103: 0.02477 0.02579
Train and Validation loss epoch 104: 0.02468 0.02512
Train and Validation loss epoch 105: 0.02469 0.02491
Train and Validation loss epoch 106: 0.02440 0.02555
Train and Validation loss epoch 107: 0.02445 0.02595
Train and Validation loss epoch 108: 0.02468 0.02518
Train and Validation loss epoch 109: 0.02451 0.02466
Train and Validation loss epoch 110: 0.02457 0.02463
Train and Validation loss epoch 111: 0.02437 0.02499
Train and Validation loss epoch 112: 0.02443 0.02459
Train and Validation loss epoch 113: 0.02439 0.02586
Train and Validation loss epoch 114: 0.02438 0.02476
Train and Validation loss epoch 115: 0.02431 0.02571
Train and Validation loss epoch 116: 0.02436 0.02487
Train and Validation loss epoch 117: 0.02422 0.02519
Train and Validation loss epoch 118: 0.02420 0.02525
Train and Validation loss epoch 119: 0.02422 0.02619
Train and Validation loss epoch 120: 0.02440 0.02460
Train and Validation loss epoch 121: 0.02417 0.02492
Train and Validation loss epoch 122: 0.02392 0.02524
Train and Validation loss epoch 123: 0.02426 0.02553
Train and Validation loss epoch 124: 0.02416 0.02466
Train and Validation loss epoch 125: 0.02408 0.02511
Train and Validation loss epoch 126: 0.02414 0.02422
Train and Validation loss epoch 127: 0.02403 0.02475
Train and Validation loss epoch 128: 0.02400 0.02498
Train and Validation loss epoch 129: 0.02383 0.02466
Train and Validation loss epoch 130: 0.02399 0.02422
Train and Validation loss epoch 131: 0.02400 0.02587
Train and Validation loss epoch 132: 0.02388 0.02469
Train and Validation loss epoch 133: 0.02391 0.02476
Train and Validation loss epoch 134: 0.02398 0.02413
Train and Validation loss epoch 135: 0.02387 0.02512
Train and Validation loss epoch 136: 0.02396 0.02464
Train and Validation loss epoch 137: 0.02374 0.02466
Train and Validation loss epoch 138: 0.02385 0.02440
Train and Validation loss epoch 139: 0.02371 0.02524
Train and Validation loss epoch 140: 0.02387 0.02406
Train and Validation loss epoch 141: 0.02379 0.02458
Train and Validation loss epoch 142: 0.02375 0.02418
Train and Validation loss epoch 143: 0.02384 0.02471
Train and Validation loss epoch 144: 0.02360 0.02404
Train and Validation loss epoch 145: 0.02375 0.02595
Train and Validation loss epoch 146: 0.02356 0.02387
Train and Validation loss epoch 147: 0.02355 0.02454
Train and Validation loss epoch 148: 0.02359 0.02457
Train and Validation loss epoch 149: 0.02373 0.02484
Train and Validation loss epoch 150: 0.02349 0.02433
Train and Validation loss epoch 151: 0.02354 0.02454
Train and Validation loss epoch 152: 0.02367 0.02411
Train and Validation loss epoch 153: 0.02343 0.02486
Train and Validation loss epoch 154: 0.02347 0.02390
Train and Validation loss epoch 155: 0.02341 0.02512
Train and Validation loss epoch 156: 0.02342 0.02371
Train and Validation loss epoch 157: 0.02336 0.02436
Train and Validation loss epoch 158: 0.02340 0.02435
Train and Validation loss epoch 159: 0.02344 0.02408
Train and Validation loss epoch 160: 0.02326 0.02391
Train and Validation loss epoch 161: 0.02336 0.02448
Train and Validation loss epoch 162: 0.02322 0.02365
Train and Validation loss epoch 163: 0.02317 0.02457
Train and Validation loss epoch 164: 0.02332 0.02403
Train and Validation loss epoch 165: 0.02318 0.02435
Train and Validation loss epoch 166: 0.02319 0.02360
Train and Validation loss epoch 167: 0.02324 0.02448
Train and Validation loss epoch 168: 0.02292 0.02361
Train and Validation loss epoch 169: 0.02309 0.02452
Train and Validation loss epoch 170: 0.02298 0.02375
Train and Validation loss epoch 171: 0.02298 0.02436
Train and Validation loss epoch 172: 0.02298 0.02377
Train and Validation loss epoch 173: 0.02298 0.02417
Train and Validation loss epoch 174: 0.02287 0.02347
Train and Validation loss epoch 175: 0.02288 0.02417
Train and Validation loss epoch 176: 0.02281 0.02374
Train and Validation loss epoch 177: 0.02275 0.02414
Train and Validation loss epoch 178: 0.02285 0.02365
Train and Validation loss epoch 179: 0.02288 0.02348
Train and Validation loss epoch 180: 0.02252 0.02348
Train and Validation loss epoch 181: 0.02276 0.02380
Train and Validation loss epoch 182: 0.02245 0.02350
Train and Validation loss epoch 183: 0.02271 0.02424
Train and Validation loss epoch 184: 0.02256 0.02367
Train and Validation loss epoch 185: 0.02254 0.02390
