CONFIGURATION LOCAL:
FEATURES = 32 * 3
OPTIMIZER = 'adadelta'
NUMBER_OF_EPOCHS = 1000
--commment: With L1 regularization
--------------------------------
CONFIGURATION GLOBAL:
EXTENDED_DATASET = True
BLACK_BORDER = True
HARD_DIFFICULTY = True
SIMPLIFIED_CATEGORIES = False
CROPPED_VERSION = True
WRITE_TO_FILE = True
FULL_CROSS_VALIDATION = False
CROSS_VALIDATION_ITERATIONS = 5
SEED = 66478
TEST_PERCENTAGE = 20
VALIDATION_PERCENTAGE = 20
--------------------------------
(10440, 10440)
[42 36 23 23 17 55 52]
[ 468  713  119 ..., 1132   44  369]
--------------------------------
SimpleAutoEncoder: Start learning: 0.00s
SimpleAutoEncoder: Total time: 0.00s
--------------------------------
Train and Validation loss epoch 1: 0.14654 0.14654
Train and Validation loss epoch 2: 0.11367 0.11367
Train and Validation loss epoch 3: 0.11316 0.11316
Train and Validation loss epoch 4: 0.11288 0.11288
Train and Validation loss epoch 5: 0.11266 0.11266
Train and Validation loss epoch 6: 0.11247 0.11247
Train and Validation loss epoch 7: 0.11228 0.11228
Train and Validation loss epoch 8: 0.11209 0.11209
Train and Validation loss epoch 9: 0.11191 0.11191
Train and Validation loss epoch 10: 0.11173 0.11173
Train and Validation loss epoch 11: 0.11155 0.11155
Train and Validation loss epoch 12: 0.11137 0.11137
Train and Validation loss epoch 13: 0.11119 0.11119
Train and Validation loss epoch 14: 0.11102 0.11102
Train and Validation loss epoch 15: 0.11084 0.11084
Train and Validation loss epoch 16: 0.11066 0.11066
Train and Validation loss epoch 17: 0.11049 0.11049
Train and Validation loss epoch 18: 0.11031 0.11031
Train and Validation loss epoch 19: 0.11013 0.11013
Train and Validation loss epoch 20: 0.10996 0.10996
Train and Validation loss epoch 21: 0.10979 0.10979
Train and Validation loss epoch 22: 0.10961 0.10961
Train and Validation loss epoch 23: 0.10944 0.10944
Train and Validation loss epoch 24: 0.10927 0.10927
Train and Validation loss epoch 25: 0.10910 0.10910
Train and Validation loss epoch 26: 0.10892 0.10892
Train and Validation loss epoch 27: 0.10875 0.10875
Train and Validation loss epoch 28: 0.10858 0.10858
Train and Validation loss epoch 29: 0.10841 0.10841
Train and Validation loss epoch 30: 0.10824 0.10824
Train and Validation loss epoch 31: 0.10808 0.10808
Train and Validation loss epoch 32: 0.10791 0.10791
Train and Validation loss epoch 33: 0.10774 0.10774
Train and Validation loss epoch 34: 0.10757 0.10757
Train and Validation loss epoch 35: 0.10741 0.10741
Train and Validation loss epoch 36: 0.10724 0.10724
Train and Validation loss epoch 37: 0.10707 0.10707
Train and Validation loss epoch 38: 0.10691 0.10691
Train and Validation loss epoch 39: 0.10675 0.10675
Train and Validation loss epoch 40: 0.10658 0.10658
Train and Validation loss epoch 41: 0.10642 0.10642
Train and Validation loss epoch 42: 0.10625 0.10625
Train and Validation loss epoch 43: 0.10609 0.10609
Train and Validation loss epoch 44: 0.10593 0.10593
Train and Validation loss epoch 45: 0.10577 0.10577
Train and Validation loss epoch 46: 0.10561 0.10561
Train and Validation loss epoch 47: 0.10545 0.10545
Train and Validation loss epoch 48: 0.10529 0.10529
Train and Validation loss epoch 49: 0.10513 0.10513
Train and Validation loss epoch 50: 0.10497 0.10497
Train and Validation loss epoch 51: 0.10481 0.10481
Train and Validation loss epoch 52: 0.10465 0.10465
Train and Validation loss epoch 53: 0.10450 0.10450
Train and Validation loss epoch 54: 0.10434 0.10434
Train and Validation loss epoch 55: 0.10418 0.10418
Train and Validation loss epoch 56: 0.10403 0.10403
Train and Validation loss epoch 57: 0.10387 0.10387
Train and Validation loss epoch 58: 0.10372 0.10372
Train and Validation loss epoch 59: 0.10356 0.10356
Train and Validation loss epoch 60: 0.10341 0.10341
Train and Validation loss epoch 61: 0.10326 0.10326
Train and Validation loss epoch 62: 0.10310 0.10310
Train and Validation loss epoch 63: 0.10295 0.10295
Train and Validation loss epoch 64: 0.10280 0.10280
Train and Validation loss epoch 65: 0.10265 0.10265
Train and Validation loss epoch 66: 0.10250 0.10250
Train and Validation loss epoch 67: 0.10235 0.10235
Train and Validation loss epoch 68: 0.10220 0.10220
Train and Validation loss epoch 69: 0.10205 0.10205
Train and Validation loss epoch 70: 0.10190 0.10190
Train and Validation loss epoch 71: 0.10175 0.10175
Train and Validation loss epoch 72: 0.10160 0.10160
Train and Validation loss epoch 73: 0.10145 0.10145
Train and Validation loss epoch 74: 0.10131 0.10131
Train and Validation loss epoch 75: 0.10116 0.10116
Train and Validation loss epoch 76: 0.10101 0.10101
Train and Validation loss epoch 77: 0.10087 0.10087
Train and Validation loss epoch 78: 0.10072 0.10072
Train and Validation loss epoch 79: 0.10058 0.10058
Train and Validation loss epoch 80: 0.10043 0.10043
Train and Validation loss epoch 81: 0.10029 0.10029
Train and Validation loss epoch 82: 0.10015 0.10015
Train and Validation loss epoch 83: 0.10000 0.10000
Train and Validation loss epoch 84: 0.09986 0.09986
Train and Validation loss epoch 85: 0.09972 0.09972
Train and Validation loss epoch 86: 0.09958 0.09958
Train and Validation loss epoch 87: 0.09944 0.09944
Train and Validation loss epoch 88: 0.09930 0.09930
Train and Validation loss epoch 89: 0.09916 0.09916
Train and Validation loss epoch 90: 0.09902 0.09902
Train and Validation loss epoch 91: 0.09888 0.09888
Train and Validation loss epoch 92: 0.09874 0.09874
Train and Validation loss epoch 93: 0.09860 0.09860
Train and Validation loss epoch 94: 0.09846 0.09846
Train and Validation loss epoch 95: 0.09833 0.09833
Train and Validation loss epoch 96: 0.09819 0.09819
Train and Validation loss epoch 97: 0.09805 0.09805
Train and Validation loss epoch 98: 0.09792 0.09792
Train and Validation loss epoch 99: 0.09778 0.09778
Train and Validation loss epoch 100: 0.09765 0.09765
Train and Validation loss epoch 101: 0.09751 0.09751
Train and Validation loss epoch 102: 0.09738 0.09738
Train and Validation loss epoch 103: 0.09725 0.09725
Train and Validation loss epoch 104: 0.09711 0.09711
Train and Validation loss epoch 105: 0.09698 0.09698
Train and Validation loss epoch 106: 0.09685 0.09685
Train and Validation loss epoch 107: 0.09672 0.09672
Train and Validation loss epoch 108: 0.09658 0.09658
Train and Validation loss epoch 109: 0.09645 0.09645
Train and Validation loss epoch 110: 0.09632 0.09632
Train and Validation loss epoch 111: 0.09619 0.09619
Train and Validation loss epoch 112: 0.09606 0.09606
Train and Validation loss epoch 113: 0.09593 0.09593
Train and Validation loss epoch 114: 0.09580 0.09580
Train and Validation loss epoch 115: 0.09568 0.09568
Train and Validation loss epoch 116: 0.09555 0.09555
Train and Validation loss epoch 117: 0.09542 0.09542
Train and Validation loss epoch 118: 0.09529 0.09529
Train and Validation loss epoch 119: 0.09517 0.09517
Train and Validation loss epoch 120: 0.09504 0.09504
Train and Validation loss epoch 121: 0.09491 0.09491
Train and Validation loss epoch 122: 0.09479 0.09479
Train and Validation loss epoch 123: 0.09466 0.09466
Train and Validation loss epoch 124: 0.09454 0.09454
Train and Validation loss epoch 125: 0.09441 0.09441
Train and Validation loss epoch 126: 0.09429 0.09429
Train and Validation loss epoch 127: 0.09417 0.09417
Train and Validation loss epoch 128: 0.09404 0.09404
Train and Validation loss epoch 129: 0.09392 0.09392
Train and Validation loss epoch 130: 0.09380 0.09380
Train and Validation loss epoch 131: 0.09368 0.09368
Train and Validation loss epoch 132: 0.09356 0.09356
Train and Validation loss epoch 133: 0.09343 0.09343
Train and Validation loss epoch 134: 0.09331 0.09331
Train and Validation loss epoch 135: 0.09319 0.09319
Train and Validation loss epoch 136: 0.09307 0.09307
Train and Validation loss epoch 137: 0.09295 0.09295
Train and Validation loss epoch 138: 0.09284 0.09284
Train and Validation loss epoch 139: 0.09272 0.09272
Train and Validation loss epoch 140: 0.09260 0.09260
Train and Validation loss epoch 141: 0.09248 0.09248
Train and Validation loss epoch 142: 0.09236 0.09236
Train and Validation loss epoch 143: 0.09225 0.09225
Train and Validation loss epoch 144: 0.09213 0.09213
Train and Validation loss epoch 145: 0.09201 0.09201
Train and Validation loss epoch 146: 0.09190 0.09190
Train and Validation loss epoch 147: 0.09178 0.09178
Train and Validation loss epoch 148: 0.09167 0.09167
Train and Validation loss epoch 149: 0.09155 0.09155
Train and Validation loss epoch 150: 0.09144 0.09144
Train and Validation loss epoch 151: 0.09132 0.09132
Train and Validation loss epoch 152: 0.09121 0.09121
Train and Validation loss epoch 153: 0.09110 0.09110
Train and Validation loss epoch 154: 0.09098 0.09098
Train and Validation loss epoch 155: 0.09087 0.09087
Train and Validation loss epoch 156: 0.09076 0.09076
Train and Validation loss epoch 157: 0.09065 0.09065
Train and Validation loss epoch 158: 0.09054 0.09054
Train and Validation loss epoch 159: 0.09043 0.09043
Train and Validation loss epoch 160: 0.09032 0.09032
Train and Validation loss epoch 161: 0.09021 0.09021
Train and Validation loss epoch 162: 0.09010 0.09010
Train and Validation loss epoch 163: 0.08999 0.08999
Train and Validation loss epoch 164: 0.08988 0.08988
Train and Validation loss epoch 165: 0.08977 0.08977
Train and Validation loss epoch 166: 0.08966 0.08966
Train and Validation loss epoch 167: 0.08955 0.08955
Train and Validation loss epoch 168: 0.08944 0.08944
Train and Validation loss epoch 169: 0.08934 0.08934
Train and Validation loss epoch 170: 0.08923 0.08923
Train and Validation loss epoch 171: 0.08912 0.08912
Train and Validation loss epoch 172: 0.08902 0.08902
Train and Validation loss epoch 173: 0.08891 0.08891
Train and Validation loss epoch 174: 0.08881 0.08881
Train and Validation loss epoch 175: 0.08870 0.08870
Train and Validation loss epoch 176: 0.08860 0.08860
Train and Validation loss epoch 177: 0.08849 0.08849
Train and Validation loss epoch 178: 0.08839 0.08839
Train and Validation loss epoch 179: 0.08828 0.08828
Train and Validation loss epoch 180: 0.08818 0.08818
Train and Validation loss epoch 181: 0.08808 0.08808
Train and Validation loss epoch 182: 0.08797 0.08797
Train and Validation loss epoch 183: 0.08787 0.08787
Train and Validation loss epoch 184: 0.08777 0.08777
