CONFIGURATION LOCAL:
FEATURES = 32 * 2
OPTIMIZER = 'adadelta'
NUMBER_OF_EPOCHS = 1000
--------------------------------
CONFIGURATION GLOBAL:
EXTENDED_DATASET = True
BLACK_BORDER = True
HARD_DIFFICULTY = True
SIMPLIFIED_CATEGORIES = False
CROPPED_VERSION = True
WRITE_TO_FILE = True
FULL_CROSS_VALIDATION = False
CROSS_VALIDATION_ITERATIONS = 5
SEED = 66478
TEST_PERCENTAGE = 20
VALIDATION_PERCENTAGE = 20
--------------------------------
(10440, 10440)
[42 36 23 23 17 55 52]
[ 468  713  119 ..., 1132   44  369]
--------------------------------
SimpleAutoEncoder: Start learning: 0.00s
SimpleAutoEncoder: Total time: 0.00s
--------------------------------
Train and Validation loss epoch 1: 0.11267 0.12104
Train and Validation loss epoch 2: 0.10546 0.10262
Train and Validation loss epoch 3: 0.08088 0.06623
Train and Validation loss epoch 4: 0.06009 0.05243
Train and Validation loss epoch 5: 0.05450 0.04863
Train and Validation loss epoch 6: 0.05247 0.04647
Train and Validation loss epoch 7: 0.05096 0.04468
Train and Validation loss epoch 8: 0.04957 0.04305
Train and Validation loss epoch 9: 0.04828 0.04161
Train and Validation loss epoch 10: 0.04713 0.04030
Train and Validation loss epoch 11: 0.04617 0.03927
Train and Validation loss epoch 12: 0.04540 0.03843
Train and Validation loss epoch 13: 0.04479 0.03777
Train and Validation loss epoch 14: 0.04431 0.03723
Train and Validation loss epoch 15: 0.04390 0.03676
Train and Validation loss epoch 16: 0.04355 0.03634
Train and Validation loss epoch 17: 0.04322 0.03593
Train and Validation loss epoch 18: 0.04289 0.03552
Train and Validation loss epoch 19: 0.04257 0.03513
Train and Validation loss epoch 20: 0.04224 0.03469
Train and Validation loss epoch 21: 0.04189 0.03425
Train and Validation loss epoch 22: 0.04153 0.03377
Train and Validation loss epoch 23: 0.04115 0.03329
Train and Validation loss epoch 24: 0.04076 0.03278
Train and Validation loss epoch 25: 0.04037 0.03227
Train and Validation loss epoch 26: 0.03998 0.03177
Train and Validation loss epoch 27: 0.03959 0.03129
Train and Validation loss epoch 28: 0.03922 0.03081
Train and Validation loss epoch 29: 0.03886 0.03038
Train and Validation loss epoch 30: 0.03853 0.02996
Train and Validation loss epoch 31: 0.03822 0.02959
Train and Validation loss epoch 32: 0.03793 0.02924
Train and Validation loss epoch 33: 0.03767 0.02892
Train and Validation loss epoch 34: 0.03743 0.02864
Train and Validation loss epoch 35: 0.03721 0.02839
Train and Validation loss epoch 36: 0.03701 0.02817
Train and Validation loss epoch 37: 0.03683 0.02797
Train and Validation loss epoch 38: 0.03666 0.02779
Train and Validation loss epoch 39: 0.03651 0.02764
Train and Validation loss epoch 40: 0.03637 0.02748
Train and Validation loss epoch 41: 0.03624 0.02735
Train and Validation loss epoch 42: 0.03612 0.02722
Train and Validation loss epoch 43: 0.03601 0.02712
Train and Validation loss epoch 44: 0.03591 0.02702
Train and Validation loss epoch 45: 0.03581 0.02692
Train and Validation loss epoch 46: 0.03572 0.02685
Train and Validation loss epoch 47: 0.03563 0.02676
Train and Validation loss epoch 48: 0.03555 0.02669
Train and Validation loss epoch 49: 0.03548 0.02662
Train and Validation loss epoch 50: 0.03540 0.02657
Train and Validation loss epoch 51: 0.03533 0.02649
Train and Validation loss epoch 52: 0.03527 0.02647
Train and Validation loss epoch 53: 0.03520 0.02639
Train and Validation loss epoch 54: 0.03514 0.02635
Train and Validation loss epoch 55: 0.03508 0.02629
Train and Validation loss epoch 56: 0.03503 0.02625
Train and Validation loss epoch 57: 0.03497 0.02620
Train and Validation loss epoch 58: 0.03492 0.02615
Train and Validation loss epoch 59: 0.03487 0.02611
Train and Validation loss epoch 60: 0.03482 0.02608
Train and Validation loss epoch 61: 0.03477 0.02605
Train and Validation loss epoch 62: 0.03472 0.02600
Train and Validation loss epoch 63: 0.03468 0.02598
Train and Validation loss epoch 64: 0.03463 0.02592
Train and Validation loss epoch 65: 0.03458 0.02588
Train and Validation loss epoch 66: 0.03454 0.02585
Train and Validation loss epoch 67: 0.03449 0.02585
Train and Validation loss epoch 68: 0.03445 0.02579
Train and Validation loss epoch 69: 0.03441 0.02576
Train and Validation loss epoch 70: 0.03436 0.02572
Train and Validation loss epoch 71: 0.03432 0.02570
Train and Validation loss epoch 72: 0.03428 0.02566
Train and Validation loss epoch 73: 0.03424 0.02561
Train and Validation loss epoch 74: 0.03420 0.02559
Train and Validation loss epoch 75: 0.03415 0.02556
Train and Validation loss epoch 76: 0.03411 0.02552
Train and Validation loss epoch 77: 0.03407 0.02551
Train and Validation loss epoch 78: 0.03403 0.02545
Train and Validation loss epoch 79: 0.03398 0.02543
Train and Validation loss epoch 80: 0.03394 0.02538
Train and Validation loss epoch 81: 0.03390 0.02535
Train and Validation loss epoch 82: 0.03386 0.02531
Train and Validation loss epoch 83: 0.03381 0.02530
Train and Validation loss epoch 84: 0.03377 0.02524
Train and Validation loss epoch 85: 0.03373 0.02524
Train and Validation loss epoch 86: 0.03369 0.02519
Train and Validation loss epoch 87: 0.03364 0.02515
Train and Validation loss epoch 88: 0.03360 0.02513
Train and Validation loss epoch 89: 0.03356 0.02508
Train and Validation loss epoch 90: 0.03351 0.02507
Train and Validation loss epoch 91: 0.03347 0.02501
Train and Validation loss epoch 92: 0.03343 0.02495
Train and Validation loss epoch 93: 0.03338 0.02494
Train and Validation loss epoch 94: 0.03334 0.02491
Train and Validation loss epoch 95: 0.03330 0.02488
Train and Validation loss epoch 96: 0.03325 0.02486
Train and Validation loss epoch 97: 0.03321 0.02482
Train and Validation loss epoch 98: 0.03316 0.02478
Train and Validation loss epoch 99: 0.03312 0.02474
Train and Validation loss epoch 100: 0.03307 0.02469
Train and Validation loss epoch 101: 0.03303 0.02470
Train and Validation loss epoch 102: 0.03299 0.02465
Train and Validation loss epoch 103: 0.03294 0.02462
Train and Validation loss epoch 104: 0.03290 0.02459
Train and Validation loss epoch 105: 0.03285 0.02455
Train and Validation loss epoch 106: 0.03280 0.02450
Train and Validation loss epoch 107: 0.03276 0.02444
Train and Validation loss epoch 108: 0.03271 0.02444
Train and Validation loss epoch 109: 0.03266 0.02443
Train and Validation loss epoch 110: 0.03262 0.02438
Train and Validation loss epoch 111: 0.03257 0.02433
Train and Validation loss epoch 112: 0.03252 0.02429
Train and Validation loss epoch 113: 0.03248 0.02424
Train and Validation loss epoch 114: 0.03243 0.02424
Train and Validation loss epoch 115: 0.03238 0.02420
Train and Validation loss epoch 116: 0.03234 0.02418
Train and Validation loss epoch 117: 0.03229 0.02410
Train and Validation loss epoch 118: 0.03224 0.02410
Train and Validation loss epoch 119: 0.03219 0.02406
Train and Validation loss epoch 120: 0.03214 0.02403
Train and Validation loss epoch 121: 0.03209 0.02400
Train and Validation loss epoch 122: 0.03204 0.02395
Train and Validation loss epoch 123: 0.03200 0.02392
Train and Validation loss epoch 124: 0.03195 0.02388
Train and Validation loss epoch 125: 0.03189 0.02381
Train and Validation loss epoch 126: 0.03184 0.02382
Train and Validation loss epoch 127: 0.03179 0.02379
Train and Validation loss epoch 128: 0.03174 0.02374
Train and Validation loss epoch 129: 0.03169 0.02373
Train and Validation loss epoch 130: 0.03164 0.02363
Train and Validation loss epoch 131: 0.03159 0.02360
Train and Validation loss epoch 132: 0.03154 0.02358
Train and Validation loss epoch 133: 0.03148 0.02354
Train and Validation loss epoch 134: 0.03143 0.02348
Train and Validation loss epoch 135: 0.03138 0.02344
Train and Validation loss epoch 136: 0.03133 0.02341
Train and Validation loss epoch 137: 0.03127 0.02337
Train and Validation loss epoch 138: 0.03122 0.02333
Train and Validation loss epoch 139: 0.03117 0.02333
Train and Validation loss epoch 140: 0.03111 0.02331
Train and Validation loss epoch 141: 0.03105 0.02323
Train and Validation loss epoch 142: 0.03100 0.02321
Train and Validation loss epoch 143: 0.03095 0.02317
Train and Validation loss epoch 144: 0.03089 0.02310
Train and Validation loss epoch 145: 0.03083 0.02305
Train and Validation loss epoch 146: 0.03078 0.02309
Train and Validation loss epoch 147: 0.03073 0.02304
Train and Validation loss epoch 148: 0.03067 0.02297
Train and Validation loss epoch 149: 0.03061 0.02291
Train and Validation loss epoch 150: 0.03056 0.02289
Train and Validation loss epoch 151: 0.03050 0.02284
Train and Validation loss epoch 152: 0.03044 0.02279
Train and Validation loss epoch 153: 0.03039 0.02279
Train and Validation loss epoch 154: 0.03033 0.02272
Train and Validation loss epoch 155: 0.03027 0.02268
Train and Validation loss epoch 156: 0.03021 0.02265
Train and Validation loss epoch 157: 0.03015 0.02259
Train and Validation loss epoch 158: 0.03010 0.02262
Train and Validation loss epoch 159: 0.03004 0.02256
Train and Validation loss epoch 160: 0.02998 0.02248
Train and Validation loss epoch 161: 0.02992 0.02252
Train and Validation loss epoch 162: 0.02986 0.02241
Train and Validation loss epoch 163: 0.02980 0.02239
Train and Validation loss epoch 164: 0.02974 0.02234
Train and Validation loss epoch 165: 0.02968 0.02227
Train and Validation loss epoch 166: 0.02962 0.02227
Train and Validation loss epoch 167: 0.02956 0.02221
Train and Validation loss epoch 168: 0.02950 0.02218
Train and Validation loss epoch 169: 0.02943 0.02215
Train and Validation loss epoch 170: 0.02937 0.02212
Train and Validation loss epoch 171: 0.02932 0.02208
Train and Validation loss epoch 172: 0.02925 0.02204
Train and Validation loss epoch 173: 0.02919 0.02199
Train and Validation loss epoch 174: 0.02912 0.02196
Train and Validation loss epoch 175: 0.02906 0.02189
Train and Validation loss epoch 176: 0.02900 0.02190
Train and Validation loss epoch 177: 0.02894 0.02183
Train and Validation loss epoch 178: 0.02888 0.02179
Train and Validation loss epoch 179: 0.02881 0.02175
Train and Validation loss epoch 180: 0.02875 0.02171
Train and Validation loss epoch 181: 0.02869 0.02169
Train and Validation loss epoch 182: 0.02862 0.02164
Train and Validation loss epoch 183: 0.02856 0.02159
Train and Validation loss epoch 184: 0.02849 0.02154
Train and Validation loss epoch 185: 0.02843 0.02151
