CONFIGURATION LOCAL:
FEATURES = 32
OPTIMIZER = 'adadelta'
NUMBER_OF_EPOCHS = 2000
--------------------------------
CONFIGURATION GLOBAL:
EXTENDED_DATASET = True
BLACK_BORDER = True
HARD_DIFFICULTY = True
SIMPLIFIED_CATEGORIES = False
CROPPED_VERSION = True
WRITE_TO_FILE = True
FULL_CROSS_VALIDATION = False
CROSS_VALIDATION_ITERATIONS = 5
SEED = 66478
TEST_PERCENTAGE = 20
VALIDATION_PERCENTAGE = 20
--------------------------------
(10440, 10440)
[42 36 23 23 17 55 52]
[ 468  713  119 ..., 1132   44  369]
--------------------------------
SimpleAutoEncoder: Start learning: 0.00s
SimpleAutoEncoder: Total time: 0.00s
--------------------------------
Train and Validation loss epoch 1: 0.11294 0.12217
Train and Validation loss epoch 2: 0.10826 0.10968
Train and Validation loss epoch 3: 0.08823 0.07429
Train and Validation loss epoch 4: 0.06361 0.05438
Train and Validation loss epoch 5: 0.05531 0.04925
Train and Validation loss epoch 6: 0.05283 0.04683
Train and Validation loss epoch 7: 0.05124 0.04497
Train and Validation loss epoch 8: 0.04984 0.04332
Train and Validation loss epoch 9: 0.04853 0.04186
Train and Validation loss epoch 10: 0.04737 0.04055
Train and Validation loss epoch 11: 0.04640 0.03951
Train and Validation loss epoch 12: 0.04562 0.03869
Train and Validation loss epoch 13: 0.04501 0.03804
Train and Validation loss epoch 14: 0.04454 0.03754
Train and Validation loss epoch 15: 0.04417 0.03712
Train and Validation loss epoch 16: 0.04386 0.03678
Train and Validation loss epoch 17: 0.04360 0.03647
Train and Validation loss epoch 18: 0.04336 0.03618
Train and Validation loss epoch 19: 0.04314 0.03593
Train and Validation loss epoch 20: 0.04292 0.03565
Train and Validation loss epoch 21: 0.04270 0.03538
Train and Validation loss epoch 22: 0.04247 0.03508
Train and Validation loss epoch 23: 0.04223 0.03477
Train and Validation loss epoch 24: 0.04197 0.03442
Train and Validation loss epoch 25: 0.04170 0.03406
Train and Validation loss epoch 26: 0.04140 0.03367
Train and Validation loss epoch 27: 0.04108 0.03326
Train and Validation loss epoch 28: 0.04075 0.03282
Train and Validation loss epoch 29: 0.04040 0.03239
Train and Validation loss epoch 30: 0.04005 0.03192
Train and Validation loss epoch 31: 0.03969 0.03147
Train and Validation loss epoch 32: 0.03933 0.03102
Train and Validation loss epoch 33: 0.03899 0.03058
Train and Validation loss epoch 34: 0.03866 0.03017
Train and Validation loss epoch 35: 0.03834 0.02978
Train and Validation loss epoch 36: 0.03804 0.02943
Train and Validation loss epoch 37: 0.03777 0.02909
Train and Validation loss epoch 38: 0.03752 0.02879
Train and Validation loss epoch 39: 0.03728 0.02854
Train and Validation loss epoch 40: 0.03707 0.02828
Train and Validation loss epoch 41: 0.03688 0.02807
Train and Validation loss epoch 42: 0.03670 0.02785
Train and Validation loss epoch 43: 0.03654 0.02769
Train and Validation loss epoch 44: 0.03639 0.02753
Train and Validation loss epoch 45: 0.03625 0.02738
Train and Validation loss epoch 46: 0.03612 0.02726
Train and Validation loss epoch 47: 0.03601 0.02714
Train and Validation loss epoch 48: 0.03590 0.02703
Train and Validation loss epoch 49: 0.03580 0.02694
Train and Validation loss epoch 50: 0.03570 0.02686
Train and Validation loss epoch 51: 0.03561 0.02676
Train and Validation loss epoch 52: 0.03553 0.02671
Train and Validation loss epoch 53: 0.03545 0.02663
Train and Validation loss epoch 54: 0.03538 0.02657
Train and Validation loss epoch 55: 0.03531 0.02650
Train and Validation loss epoch 56: 0.03524 0.02645
Train and Validation loss epoch 57: 0.03518 0.02639
Train and Validation loss epoch 58: 0.03512 0.02633
Train and Validation loss epoch 59: 0.03506 0.02628
Train and Validation loss epoch 60: 0.03501 0.02624
Train and Validation loss epoch 61: 0.03495 0.02620
Train and Validation loss epoch 62: 0.03490 0.02615
Train and Validation loss epoch 63: 0.03485 0.02612
Train and Validation loss epoch 64: 0.03480 0.02607
Train and Validation loss epoch 65: 0.03475 0.02602
Train and Validation loss epoch 66: 0.03471 0.02599
Train and Validation loss epoch 67: 0.03466 0.02599
Train and Validation loss epoch 68: 0.03462 0.02592
Train and Validation loss epoch 69: 0.03458 0.02590
Train and Validation loss epoch 70: 0.03453 0.02585
Train and Validation loss epoch 71: 0.03449 0.02583
Train and Validation loss epoch 72: 0.03445 0.02579
Train and Validation loss epoch 73: 0.03441 0.02575
Train and Validation loss epoch 74: 0.03437 0.02573
Train and Validation loss epoch 75: 0.03433 0.02570
Train and Validation loss epoch 76: 0.03429 0.02566
Train and Validation loss epoch 77: 0.03425 0.02565
Train and Validation loss epoch 78: 0.03421 0.02559
Train and Validation loss epoch 79: 0.03417 0.02558
Train and Validation loss epoch 80: 0.03414 0.02553
Train and Validation loss epoch 81: 0.03410 0.02551
Train and Validation loss epoch 82: 0.03406 0.02547
Train and Validation loss epoch 83: 0.03402 0.02546
Train and Validation loss epoch 84: 0.03398 0.02540
Train and Validation loss epoch 85: 0.03394 0.02541
Train and Validation loss epoch 86: 0.03391 0.02536
Train and Validation loss epoch 87: 0.03387 0.02532
Train and Validation loss epoch 88: 0.03383 0.02531
Train and Validation loss epoch 89: 0.03379 0.02525
Train and Validation loss epoch 90: 0.03376 0.02526
Train and Validation loss epoch 91: 0.03372 0.02519
Train and Validation loss epoch 92: 0.03368 0.02514
Train and Validation loss epoch 93: 0.03364 0.02512
Train and Validation loss epoch 94: 0.03360 0.02510
Train and Validation loss epoch 95: 0.03356 0.02507
Train and Validation loss epoch 96: 0.03352 0.02506
Train and Validation loss epoch 97: 0.03349 0.02502
Train and Validation loss epoch 98: 0.03345 0.02498
Train and Validation loss epoch 99: 0.03341 0.02494
Train and Validation loss epoch 100: 0.03337 0.02490
Train and Validation loss epoch 101: 0.03333 0.02490
Train and Validation loss epoch 102: 0.03329 0.02486
Train and Validation loss epoch 103: 0.03325 0.02484
Train and Validation loss epoch 104: 0.03321 0.02481
Train and Validation loss epoch 105: 0.03317 0.02477
Train and Validation loss epoch 106: 0.03313 0.02472
Train and Validation loss epoch 107: 0.03309 0.02467
Train and Validation loss epoch 108: 0.03305 0.02467
Train and Validation loss epoch 109: 0.03301 0.02466
Train and Validation loss epoch 110: 0.03297 0.02461
Train and Validation loss epoch 111: 0.03293 0.02457
Train and Validation loss epoch 112: 0.03289 0.02453
Train and Validation loss epoch 113: 0.03285 0.02448
Train and Validation loss epoch 114: 0.03280 0.02449
Train and Validation loss epoch 115: 0.03276 0.02445
Train and Validation loss epoch 116: 0.03272 0.02444
Train and Validation loss epoch 117: 0.03268 0.02436
Train and Validation loss epoch 118: 0.03264 0.02436
Train and Validation loss epoch 119: 0.03259 0.02432
Train and Validation loss epoch 120: 0.03255 0.02430
Train and Validation loss epoch 121: 0.03251 0.02427
Train and Validation loss epoch 122: 0.03246 0.02422
Train and Validation loss epoch 123: 0.03242 0.02420
Train and Validation loss epoch 124: 0.03238 0.02416
Train and Validation loss epoch 125: 0.03233 0.02410
Train and Validation loss epoch 126: 0.03229 0.02411
Train and Validation loss epoch 127: 0.03224 0.02408
Train and Validation loss epoch 128: 0.03220 0.02404
Train and Validation loss epoch 129: 0.03216 0.02403
Train and Validation loss epoch 130: 0.03211 0.02394
Train and Validation loss epoch 131: 0.03207 0.02392
Train and Validation loss epoch 132: 0.03202 0.02390
Train and Validation loss epoch 133: 0.03198 0.02387
Train and Validation loss epoch 134: 0.03193 0.02381
Train and Validation loss epoch 135: 0.03189 0.02378
Train and Validation loss epoch 136: 0.03184 0.02375
Train and Validation loss epoch 137: 0.03180 0.02372
Train and Validation loss epoch 138: 0.03175 0.02368
Train and Validation loss epoch 139: 0.03171 0.02369
Train and Validation loss epoch 140: 0.03166 0.02367
Train and Validation loss epoch 141: 0.03161 0.02360
Train and Validation loss epoch 142: 0.03157 0.02359
Train and Validation loss epoch 143: 0.03152 0.02355
Train and Validation loss epoch 144: 0.03147 0.02349
Train and Validation loss epoch 145: 0.03142 0.02345
Train and Validation loss epoch 146: 0.03138 0.02348
Train and Validation loss epoch 147: 0.03133 0.02345
Train and Validation loss epoch 148: 0.03128 0.02338
Train and Validation loss epoch 149: 0.03123 0.02333
Train and Validation loss epoch 150: 0.03119 0.02331
Train and Validation loss epoch 151: 0.03114 0.02328
Train and Validation loss epoch 152: 0.03109 0.02324
Train and Validation loss epoch 153: 0.03104 0.02324
Train and Validation loss epoch 154: 0.03099 0.02319
Train and Validation loss epoch 155: 0.03095 0.02315
Train and Validation loss epoch 156: 0.03090 0.02313
Train and Validation loss epoch 157: 0.03085 0.02308
Train and Validation loss epoch 158: 0.03080 0.02311
Train and Validation loss epoch 159: 0.03075 0.02305
Train and Validation loss epoch 160: 0.03070 0.02298
Train and Validation loss epoch 161: 0.03065 0.02303
Train and Validation loss epoch 162: 0.03060 0.02293
Train and Validation loss epoch 163: 0.03055 0.02292
Train and Validation loss epoch 164: 0.03050 0.02287
Train and Validation loss epoch 165: 0.03045 0.02282
Train and Validation loss epoch 166: 0.03040 0.02282
Train and Validation loss epoch 167: 0.03034 0.02277
Train and Validation loss epoch 168: 0.03029 0.02275
Train and Validation loss epoch 169: 0.03024 0.02273
Train and Validation loss epoch 170: 0.03019 0.02270
Train and Validation loss epoch 171: 0.03014 0.02267
Train and Validation loss epoch 172: 0.03009 0.02263
Train and Validation loss epoch 173: 0.03003 0.02260
Train and Validation loss epoch 174: 0.02998 0.02257
Train and Validation loss epoch 175: 0.02993 0.02252
Train and Validation loss epoch 176: 0.02988 0.02253
Train and Validation loss epoch 177: 0.02982 0.02246
Train and Validation loss epoch 178: 0.02977 0.02243
Train and Validation loss epoch 179: 0.02971 0.02240
Train and Validation loss epoch 180: 0.02966 0.02236
Train and Validation loss epoch 181: 0.02961 0.02234
Train and Validation loss epoch 182: 0.02955 0.02230
Train and Validation loss epoch 183: 0.02949 0.02227
Train and Validation loss epoch 184: 0.02944 0.02222
Train and Validation loss epoch 185: 0.02938 0.02220
